"Search query: ( ((""Artificial Intelligence""[Mesh]) OR (""Machine Learning""[Mesh]) OR (""Deep Learning""[Mesh])) AND ((""X-Rays""[Mesh]) OR (""Tomography, X-Ray Computed""[Mesh]) OR (""Magnetic Resonance Imaging""[Mesh])) AND ((""Bone and Bones""[Mesh]) OR (""Spine""[Mesh]) OR (""Neoplasms, Bone Tissue""[Mesh])) )"
Year,Count
2024,219
2023,138
2022,109
2021,107
2020,78
2019,75
2018,51
2017,35
2016,24
2015,14
2014,34
2013,29
2012,23
2011,24
2010,25
2009,30
2008,22
2007,20
2006,14
2005,10
2004,8
2003,11
2002,4
2001,2
2000,6
1999,1
1998,5
1997,3
1996,1
1995,3
1994,1
1992,4
1989,1
1986,1
