"Search query: ( ((""Artificial Intelligence""[Mesh]) OR (""Machine Learning""[Mesh]) OR (""Deep Learning""[Mesh])) AND (""Tomography, X-Ray Computed""[Mesh]) )"
Year,Count
2024,1877
2023,1377
2022,1374
2021,1363
2020,1111
2019,695
2018,386
2017,199
2016,142
2015,134
2014,168
2013,161
2012,143
2011,137
2010,143
2009,174
2008,146
2007,142
2006,120
2005,101
2004,41
2003,30
2002,32
2001,19
2000,18
1999,11
1998,15
1997,19
1996,6
1995,12
1994,10
1993,5
1992,7
1991,5
1990,4
1989,4
1988,3
1987,4
1986,2
