"Search query: ( ((""Artificial Intelligence""[Mesh]) OR (""Machine Learning""[Mesh]) OR (""Deep Learning""[Mesh])) AND ((""X-Rays""[Mesh]) OR (""Tomography, X-Ray Computed""[Mesh]) OR (""Magnetic Resonance Imaging""[Mesh])) AND ((""Thorax""[Mesh]) OR (""Lung""[Mesh]) OR (""Mediastinum""[Mesh]) OR (""Heart""[Mesh])) )"
Year,Count
2024,277
2023,231
2022,252
2021,328
2020,269
2019,144
2018,82
2017,47
2016,34
2015,22
2014,25
2013,30
2012,18
2011,22
2010,20
2009,25
2008,45
2007,31
2006,31
2005,20
2004,5
2003,5
2002,5
2001,1
2000,3
1999,4
1998,2
1997,2
1995,1
1994,1
